Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541292040058624,0.515220473814936,0.507671387434582,0.510779255061927,0.505697916688524,0.496975152108497,0.480183723605948,0.473447414885559,0.471710543760851,0.434498266558774,0.416145485294781,0.433227738966101,0.422310062388402,0.422821802684506,0.41806664741715,0.382493665795112,0.353125599600637,0.336676582519784,0.337660420882322,0.321738064744128,0.319131327009644,0.296567100760034,0.308360302742832,0.300227199155039,0.292009154698457,0.274497548507957,0.262058197815426,0.25689330403525,0.247370390181795,0.242255973186371,0.21943703700276,,,
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708397685575001,0.075212832469166,0.0564582592770085,0.0747078860424511,0.0800762413062875,0.0854192237631324,0.123912643171452,0.152037294163668,0.17176522247664,0.233702865903674,0.171085011792157,0.144558321172312,0.134398532318261,0.14001604386586,0.132599158642522,0.134152349586293,0.141729244815793,0.1372441384137,0.107514384822841,,,
Africa Western and Central,AFW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268872354390738,0.292125661093561,0.30636076124596,0.285874262614103,0.258664926773368,0.271345588825533,0.294065291697829,0.277160643101168,0.254969438193432,0.252249592825332,0.253761768355919,0.248015248475252,0.209396898266635,0.207994585321379,0.189731584410646,0.176509736463718,0.154217569236573,0.138114313885431,0.134240820763998,0.121302813099063,0.126069201666513,0.122063009594544,0.118909428478807,0.12186748014396,0.119081551258567,0.116639504188917,0.119831239018417,0.114819668001553,0.114330093790491,0.11502963756667,0.110811246716524,,,
Angola,AGO,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16902602630833,0.164612332421152,0.176116939021564,0.305046715333946,0.359216699758599,0.344433246028564,0.361663790607409,0.346715803880546,0.339920423686867,0.344578056294016,0.300800495507203,0.277974369925948,0.236780946513569,0.240909107517788,0.220144606701011,0.168099801649365,0.153094108530269,0.133967820305534,0.134330219073963,0.145173234955861,0.148170019937672,0.14683139218492,0.128236935679169,0.134884113552345,0.134370380223405,0.154683993578315,0.144091503588157,0.114982838140276,0.107301591345569,0.109504161632798,0.0930897217031407,,,
Albania,ALB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723222973762456,0.660473354075086,0.378197059492736,0.312976093884813,0.283797948632328,0.229571064265865,0.208428975002067,0.172879141028748,0.190920275294433,0.276611373772906,0.267153219819628,0.245770607401349,0.264512982728677,0.272215659440887,0.263081331579549,0.231888260062763,0.207746690168265,0.196837414334383,0.173576572658088,0.169298674322341,0.170612039787448,0.173212203600902,0.148763461448398,0.156692349247745,0.159486988998887,0.142828161630696,0.131641340287059,0.147252236398066,0.13739933142507,0.121427730609126,0.10982265887694,,,
Andorra,AND,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419528559728949,0.378428346456523,0.382812125167353,0.391496065643153,0.395089380031067,0.388651367485445,0.377895166940166,0.373155862440401,0.351555725650928,0.344401411705767,0.32873069202922,0.333827937425739,0.338942641576365,0.328713980725571,0.308736967495199,0.303410194797829,0.29293496662962,0.284505187525585,0.28558487709921,0.292230947426836,0.292374105358366,0.280767899818201,0.275890207901405,0.276205587227697,0.284119740984891,0.314628170251999,0.32109711753286,0.303556821332514,0.285936559497206,0.279356294888418,0.276290950226197,,,
United Arab Emirates,ARE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346549124315866,0.370602378649864,0.340016534594362,0.349528982222655,0.356170391320145,0.347254212774157,0.336735765875116,0.317315746193754,0.320587235852101,0.315426514759115,0.275154554604842,0.3044281767993,0.298505605364468,0.281734668936038,0.265337006340837,0.25973465560026,0.239457049877845,0.245048697313556,0.275794191354705,0.291008007047214,0.293414259338152,0.275162398767806,0.270870862625981,0.278524956408469,0.267854659293793,0.314386059729871,0.323594286908055,0.297341851541753,0.260144326755334,0.269334258218241,0.283412504058371,,,
Argentina,ARG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427859301008001,0.400370827842409,0.369562720025704,0.340844725007269,0.320044410421854,0.325467582916583,0.328792240642947,0.307685419571058,0.308199379487323,0.318909972217278,0.309098398743112,0.299469331026383,0.310336852519235,0.303881207332858,0.300607089537799,0.276513839985252,0.263431028788317,0.247307122050128,0.239510370829821,0.236825362388163,0.226963218591912,0.221559767294129,0.21709864035685,0.215692383279966,0.213836656948913,0.213970217723077,0.206905788655263,0.172483424864319,0.170672014396088,0.162641532884913,0.163827247694813,,,
